"ID","pagina_ruta","seccion","nombre_accesible","tipo","rol_requerido","precondicion","accion_ejecutada","resultado_esperado","efecto_UI","efecto_API_BD","persistencia_esperada","viewport_probado","navegador","estado","bug","evidencia"
"UI-011","/admin","sidebar","Inventario","link","autenticado","sesión mock","clic","abrir matriz","/admin/inventory-matrix","GET catálogo","N/A","1280x720;393x851","Chrome/Playwright+CUA","PASS","","Playwright rutas"
"UI-012","/admin","sidebar","Propiedades","link","autenticado","sesión mock","clic","abrir listado","/admin/properties","GET catálogo","N/A","1280x720;393x851","Chrome/Playwright+CUA","PASS","","Playwright rutas"
"UI-013","/admin","sidebar","Leads","link","autenticado","sesión mock","clic","abrir CRM","/admin/leads","GET leads/followups","N/A","1280x720;393x851","Chrome/Playwright+CUA","PASS","","Playwright rutas"
"UI-014","/admin","sidebar","Locales y Cocheras","link","autenticado","sesión mock","clic","abrir comercial","/admin/comercial","GET catálogo","N/A","1280x720;393x851","Chrome/Playwright+CUA","PASS","","Playwright rutas"
"UI-015","/admin","sidebar","Agenda","link","autenticado","sesión mock/API","clic","mock abre; API no aparenta persistir","agenda mock o aviso API","sin API integral","localStorage sólo mock","1280x720;393x851","Chrome/Playwright+CUA","FAIL","EP-QA-008","charter+source"
"UI-016","/admin","sidebar","Configuración","link","admin","sesión mock/API","clic","mock placeholder; API aviso/no controles","ruta carga","sin API","ninguna real","1280x720;393x851","Chrome/Playwright+CUA","FAIL","EP-QA-009","charter+source"
"UI-017","/admin","sidebar","Ocultar/Mostrar menú","boton","autenticado","desktop","clic","colapsar/restaurar","layout cambia","ninguno","estado UI","1365x768","Chrome/CUA","PASS","","charter layout"
"UI-018","/admin","mobile nav","Abrir menú principal","boton","autenticado","mobile","clic en E2E logout","mostrar menú y cuenta","drawer visible","ninguno","temporal","393x851","Chrome/Playwright","PASS","","Playwright mobile"
"UI-019","/admin","navbar","Modo claro/oscuro","boton","autenticado","dashboard","clic","alternar tema","colores cambian","ninguno","preferencia local","1365x768","Chrome/CUA","PASS","","charter layout"
"UI-020","/admin","navbar","Propiedad","boton","no advisor","desktop xl","clic","abrir alta","/admin/properties/new","ninguno hasta submit","N/A","1365x768","Chrome/CUA","PASS","EP-QA-015","charter admin/advisor"
"UI-021","/admin","navbar","Lead","boton","no engineer","desktop xl","clic","abrir alta","/admin/leads/new","ninguno hasta submit","N/A","1365x768","Chrome/CUA","PASS","","charter admin"
"UI-022","/admin","navbar","Notificaciones","boton/drawer","autenticado","sesión admin","clic","abrir drawer","estado vacío visible","GET notifications en API","server","1365x768","Chrome/CUA","PASS","","charter layout"
"UI-023","/admin","notificaciones","Marcar leídas","boton","autenticado","notificaciones no leídas","no disponible en admin mock","persistir lectura","badge disminuye","POST mark-all","server","N/A","N/A","BLOCKED","","contrato 55/55 PASS; falta fixture UI"
"UI-024","/admin","notificaciones","Limpiar","boton","autenticado","notificaciones existentes","no ejecutada","confirmar y borrar","lista vacía","DELETE notifications","server","N/A","N/A","BLOCKED","","contrato 55/55 PASS; falta fixture UI"
"UI-025","/admin","busqueda global","Abrir búsqueda global","boton/dialog","autenticado","datos mock","clic; buscar QA Lead","resultados agrupados","dialog/resultados","GETs en API","N/A","1365x768","Chrome/CUA","PASS","","charter búsqueda"
"UI-026","/admin","busqueda global","resultado QA Lead","boton","autenticado","resultado presente","clic","navegar detalle","/admin/leads/{id}","GET lead","N/A","1365x768","Chrome/CUA","PASS","","charter búsqueda"
"UI-027","/admin","dashboard","Comercializadora/Desarrolladora","tabs","admin","dashboard empresa","clic","alternar modo","widgets cambian","lecturas","N/A","1280x720","Chrome/Playwright screenshot","PASS","EP-QA-018","dashboard mock identificado"
"UI-028","/admin","dashboard","Balance del Mes & Números","boton/modal","advisor mock","dashboard asesor","clic","abrir balance","modal visible","datos locales/API futura","N/A","1365x768","Chrome/CUA","PASS","EP-QA-018","charter asesor"
"UI-029","/admin","dashboard","Nuevo Lead","boton","advisor mock","dashboard asesor","clic","abrir drawer","form visible","POST lead según modo","server/local mock","1365x768","Chrome/CUA","PASS","","charter asesor"
"UI-030","/admin","dashboard","Mi Agenda","boton","advisor mock","dashboard asesor","clic","abrir agenda","ruta agenda","sin API","localStorage mock","1365x768","Chrome/CUA","FAIL","EP-QA-008","charter asesor"
"UI-031","/admin","prioridad","Todos/Vencidos/Para hoy/Nuevos","tabs","advisor mock","leads presentes","clic cada filtro","lista/contador coherente","filtrado UI","GET/queries en API","N/A","1365x768","Chrome/CUA","PASS","EP-QA-018","charter dashboard"
"UI-032","/admin","prioridad","Buscar lead","input","advisor mock","leads presentes","buscar","filtrar lista","resultados","lectura","N/A","1365x768","Chrome/CUA","PASS","","charter dashboard"
"UI-033","/admin","prioridad","Cambiar etapa","boton/dialog","advisor mock","lead visible","clic+confirmar","etapa cambia tras confirmación","card/counters actualizan","PATCH lead en API","server/local mock","1365x768","Chrome/CUA","PASS","EP-QA-005","charter dashboard"
"UI-034","/admin","prioridad","Agregar seguimiento","boton/modal","advisor mock","lead visible","submit inválido y válido sintético","validar y guardar","timeline/counters","POST follow-up en API","server/local mock","1365x768","Chrome/CUA","PASS","EP-QA-005","charter dashboard"
"UI-035","/admin","proyectos widget","Ver detalle","link","autenticado","proyecto mock","clic/revisión E2E","abrir proyecto","ruta dinámica","GET catálogo","N/A","1280x720","Chrome","PASS","","botón muerto convertido en Link"
"UI-036","/admin","matriz widget","lotes 1..20 repetidos","links","autenticado","muestras","clic lote","abrir propiedad","ruta dinámica","GET property","N/A","1365x768","Chrome/CUA","FAIL","EP-QA-017","funciona pero nombre accesible ambiguo"
"UI-037","/admin/desarrollos","listado","tarjeta Barrio San José","tarjeta/link","autenticado","mock","clic","abrir detalle","ruta dinámica","GET catálogo","N/A","1365x768","Chrome/CUA","PASS","","charter proyectos"
"UI-038","/admin/desarrollos/[id]","tabs","Resumen/Matriz","tabs","autenticado","proyecto mock","clic","alternar contenido","panel cambia","lectura","N/A","1365x768","Chrome/CUA","PASS","","charter proyecto"
"UI-039","/admin/desarrollos/[id]","inventario","Cargar Manzana/Lotes","boton/modal","inventario manager","mock","abrir y generar 901-902","crear dos lotes","contador 19→21","POST batch en API","server/local mock","1365x768","Chrome/CUA","PASS","","UI mock PASS; RBAC/tenant batch backend PASS"
"UI-040","/admin/desarrollos/[id]","lote modal","Cancelar/X/Escape/fuera","acciones modal","autenticado","modal abierto","cancelar probado","cerrar sin guardar","modal cierra","ninguno","sin cambio","1365x768","Chrome/CUA","PASS","","charter proyecto"
"UI-041","/admin/inventory-matrix","filtro","Proyecto","select","autenticado","muestras","seleccionar Torre Bellomo","matriz filtra","unidades cambian","GET con filtro futuro","N/A","1365x768","Chrome/CUA","PASS","","charter inventario"
"UI-042","/admin/inventory-matrix","lotes","unidad de matriz","boton/modal","autenticado","lote visible","clic","detalle unidad","modal visible","GET property","N/A","1365x768","Chrome/CUA","PASS","EP-QA-017","charter inventario"
"UI-043","/admin/inventory-matrix","batch","doble submit/duplicado/límites","submit","manager","API listo","no ejecutado en UI","rechazo/atomicidad/idempotencia","feedback","POST batch","server","N/A","N/A","BLOCKED","","RBAC/tenant PASS; doble submit/idempotencia UI pendiente"
"UI-044","/admin/properties","filtros","Buscar","input","autenticado","muestras","buscar Casa QA","filtrar tarjetas","resultado correcto","GET filtro futuro","N/A","1365x768","Chrome/CUA","PASS","","charter propiedades"
"UI-045","/admin/properties","filtros","Categoría","select/tabs","autenticado","muestras","cambiar categorías","filtrar","cards cambian","GET filtro","N/A","1365x768","Chrome/CUA","PASS","","charter propiedades"
"UI-046","/admin/properties","filtros","Estado","select","autenticado","muestras","cambiar disponible","estado coherente","cards cambian","GET filtro","N/A","1365x768","Chrome/CUA","PASS","EP-QA-007","default corregido"
"UI-047","/admin/properties","tarjeta","Abrir propiedad","card/link","autenticado","muestra/sintética","clic","detalle","ruta dinámica","GET property","N/A","1365x768","Chrome/CUA","PASS","","charter propiedades"
"UI-048","/admin/properties/new","categoría","Inmobiliaria Tradicional","boton","create","mock","clic","mostrar form Casa/Depto","step 2","ninguno","N/A","1280x720;393x851","Chrome/Playwright+CUA","PASS","","E2E validation"
"UI-049","/admin/properties/new","categoría","Loteo/Desarrollo","boton","create","mock","clic durante charter","mostrar campos lote","step 2","ninguno","N/A","1365x768","Chrome/CUA","PASS","","charter alta"
"UI-050","/admin/properties/new","categoría","Comercial","boton","create","query comercial","goto CTA","preseleccionar Local","form correcto","ninguno","N/A","1365x768","Chrome/CUA","PASS","","charter comercial"
"UI-051","/admin/properties/new","form","Guardar Casa vacío","submit","create","form visible","clic","mostrar errores, no éxito","errores inline","sin request","sin cambio","1280x720;393x851","Chrome/Playwright","PASS","","Playwright"
"UI-052","/admin/properties/new","form","Guardar Casa válido","submit","create","datos sintéticos","crear Casa QA Integral","detalle/lista actualiza","propiedad visible","POST en API","server/local mock","1365x768","Chrome/CUA","PASS","EP-QA-007","persistió tras reload mock"
"UI-053","/admin/properties/new","tipos","Departamento/Lote/Local/Cochera","tabs+submit","create","API listo","no creados todos en API","crear cada categoría","feedback y detalle","POST property","server","N/A","N/A","BLOCKED","","backend verde; flujo UI→API por categoría incompleto"
"UI-054","/admin/properties/[id]","detalle","Editar","boton/modal","update","Casa QA","abrir/cancelar","form con datos","modal visible/cierra","PATCH al guardar","server","1365x768","Chrome/CUA","PASS","EP-QA-007","charter detalle"
"UI-055","/admin/properties/[id]","detalle","Estado disponible/reservado/vendido","select","publish/update","API listo","revisión+unit","usar PATCH con version","UI después de éxito","PATCH property","server","N/A","N/A","BLOCKED","EP-QA-007","unit/backend PASS; UI API pendiente"
"UI-056","/admin/properties/[id]","detalle","Agendar visita","boton","autenticado","baseline","clic","abrir agenda/form","sin efecto baseline; deshabilitado API WIP","sin endpoint","ninguna","1365x768","Chrome/CUA","FAIL","EP-QA-008","charter detalle"
"UI-057","/admin/properties/[id]","finanzas","Simulador","boton/modal","autenticado","propiedad","abrir;cambiar 20 años","recalcular","240 cuotas","ninguno","temporal","1365x768","Chrome/CUA","PASS","","charter detalle"
"UI-058","/admin/properties/[id]","media/features","subir/editar/eliminar","controles API","inventory manager","fixture API","no existen en UI","gestionar validado","N/A","features/media endpoints","server/storage","N/A","N/A","BLOCKED","","MIME/traversal backend PASS; controles UI ausentes"
"UI-059","/admin/leads","vista","Tabla/Kanban","tabs","CRM","mock","revisión tabla/filtros","alternar vistas","vista cambia","GET leads","N/A","1365x768","Chrome/CUA","PASS","","charter CRM"
"UI-060","/admin/leads","filtros","Buscar Romina","input","CRM","muestras","escribir","excluir no coincidentes","tabla filtra","GET filtro futuro","N/A","1365x768","Chrome/CUA","PASS","","charter CRM"
"UI-061","/admin/leads","filtros","Seguimiento vencido","select/tab","CRM","muestras","clic","mostrar Carlos","resultado coherente","GET followups","N/A","1365x768","Chrome/CUA","PASS","","charter CRM"
"UI-062","/admin/leads","filtros","Limpiar filtros","boton","CRM","filtros activos","clic","restaurar todos","lista completa","lectura","N/A","1365x768","Chrome/CUA","PASS","","charter CRM"
"UI-063","/admin/leads","kanban","drag etapa","drag/drop","CRM update","API listo","no ejecutado con teclado/API","persistir sólo tras éxito","card columna","PATCH lead","server","N/A","N/A","BLOCKED","EP-QA-005;EP-QA-017","API/teclado pendiente"
"UI-064","/admin/leads/new","form","Guardar lead vacío","submit","CRM create","mock","clic","errores sin console error","errores inline","sin request","sin cambio","1280x720;393x851","Chrome/Playwright","PASS","EP-QA-005","Playwright"
"UI-065","/admin/leads/new","form","Guardar lead válido","submit","CRM create","datos sintéticos","crear lead QA mock y API","lead visible en tarjeta y tabla","toast y lead visible","POST lead 201","server y local mock","1280x720;393x851","Chrome/CUA+Playwright","PASS","EP-QA-005","charter CRM + E2E API aislado; 2 leads persistidos"
"UI-066","/admin/leads/[id]","intereses","Agregar interés","boton/modal","CRM update","Casa QA","crear sintético","aparece en lista","interés visible","POST association","server/local mock","1365x768","Chrome/CUA","PASS","EP-QA-005","charter detalle lead"
"UI-067","/admin/leads/[id]","intereses","Editar interés","boton/modal","CRM update","interés sintético","editar texto","valor actualizado","texto actualizado","PATCH association","server/local mock","1365x768","Chrome/CUA","PASS","EP-QA-005","charter detalle lead"
"UI-068","/admin/leads/[id]","intereses","Eliminar interés","boton","CRM update","interés sintético","confirmar delete","desaparece","lista actualizada","DELETE association","server/local mock","1365x768","Chrome/CUA","PASS","EP-QA-005","sólo sintético"
"UI-069","/admin/leads/[id]","asesor","Cambiar asesor","select/modal","ASSIGN","lead Carlos","Valentina→Lucas→Valentina","asignación visible","asesor actualizado","PATCH lead","server/local mock","1365x768","Chrome/CUA","PASS","EP-QA-004","UI mock PASS; RBAC ASSIGN backend PASS"
"UI-070","/admin/leads/[id]","edición","Editar lead","link","CRM update","lead Carlos","abrir/cancelar","form de edición","ruta edit","GET/PATCH","server","1365x768","Chrome/CUA","PASS","","charter CRM"
"UI-071","/admin/leads/[id]","contacto","tel/WhatsApp","links","CRM","teléfono válido","inspección","URL sanitizada","cliente externo","ninguno","N/A","1365x768","Chrome/CUA","PASS","EP-QA-017","no se envió mensaje"
"UI-072","/admin/leads/[id]","seguimiento","fecha vencida/hoy/futura","form","CRM","API listo","mock hoy probado; resto parcial","clasificar zona ART y persistir","timeline","POST follow-up","server","1365x768","Chrome/CUA","BLOCKED","","follow-up/RBAC backend PASS; bordes de fecha UI pendientes"
"UI-073","/admin/agenda","calendario","mes anterior/siguiente","botones","autenticado","mock","selección día y revisión","cambiar mes/día","calendario cambia","sin API","localStorage mock","1365x768","Chrome/CUA","PASS","EP-QA-008","charter agenda"
"UI-074","/admin/agenda","agenda","Nueva cita","boton/modal","CRM","mock","abrir; elegir lead","autocompletar lead/tel/propiedad","form completo","sin API","localStorage mock","1365x768","Chrome/CUA","PASS","EP-QA-008","cancelado sin mutación"
"UI-075","/admin/agenda","agenda","Guardar cita","submit","CRM","fecha/hora requerida","submit sin fecha","mostrar error","error visible","sin API","sin cambio","1365x768","Chrome/CUA","PASS","EP-QA-008","fecha CUA no commit"
"UI-076","/admin/agenda","pendientes","Ver pendientes/Ver en día","modal/boton","CRM","visitas mock","clic","mostrar y seleccionar fecha","día cambia","sin API","localStorage mock","1365x768","Chrome/CUA","PASS","EP-QA-008","charter agenda"
"UI-077","/admin/agenda","visita","editar/eliminar/duplicado","acciones","CRM","API lista","no ejecutado","persistir/confirmar/idempotencia","feedback","API inexistente","server","N/A","N/A","BLOCKED","EP-QA-008","funcionalidad ausente"
"UI-078","/admin/comercial","CTA","Nuevo Local","link","create","mock","clic","query category=comercial&type=Local","form preseleccionado","POST al submit","server/local mock","1365x768","Chrome/CUA","PASS","","charter comercial"
"UI-079","/admin/comercial","CTA","Nueva Cochera","link","create","source/route smoke","revisión estática","query tipo Cochera","form correcto esperado","POST al submit","server","1280x720","Chrome","BLOCKED","","no submit ejecutado"
"UI-080","/admin/settings","navegación interna","Empresa/Marca/Seguridad/Automatización/Integraciones","botones","admin mock","mock","clic/revisión","scroll a sección","scroll funciona WIP","ninguno","ninguna","1280x720","Chrome","PASS","EP-QA-009","handler agregado"
"UI-081","/admin/settings","acciones","Duplicate/Preview/Save","botones disabled","admin","mock/API","clic baseline; revisión WIP","no aparentar guardar","deshabilitados o aviso","sin API","ninguna","1365x768;1280x720","Chrome/CUA+Playwright","FAIL","EP-QA-009","función ausente mitigada"
"UI-082","/admin/settings","RBAC","acceso advisor directo","navegación","advisor","mock","goto baseline","redirigir dashboard","baseline mostró settings; WIP guard","ninguno","N/A","1365x768","Chrome/CUA","FAIL","EP-QA-015","fix sin E2E rol"
"UI-083","/admin/properties/new","RBAC","acceso advisor directo","navegación","advisor","mock","goto baseline","redirigir properties","baseline abrió alta; WIP guard","backend decide","N/A","1365x768","Chrome/CUA","FAIL","EP-QA-015","fix sin E2E rol"
"UI-084","/admin","QA","Simulador QA","menu/acciones","sólo local mock","producción vs local","inspección","ausente salvo dev+mock+flag","oculto en API","ninguno","localStorage mock","1280x720","Chrome/unit","PASS","EP-QA-006","Vitest gate"
"UI-085","todas admin","responsive","reflow/touch/zoom","viewport","todos","rutas cargables","smoke 393x851","rutas visibles sin crash","main visible","N/A","N/A","393x851","Chrome/Playwright","PASS","EP-QA-017","no equivale a WCAG completa"
"UI-086","todas admin","responsive","360x800;768x1024;1440x900","viewport","todos","suite","no ejecutado exacto","sin overflow/solapamiento","N/A","N/A","N/A","no probado","Chrome","BLOCKED","EP-QA-017","capacidad CUA sin viewport"
"UI-087","todas admin","compatibilidad","Firefox/WebKit/Edge","navegador","todos","binarios/matriz","no ejecutado","paridad funcional","N/A","N/A","N/A","N/A","no disponible","BLOCKED","EP-QA-017","sólo Chrome"
"UI-088","todas admin","accesibilidad","teclado/axe/lector/zoom 200%","auditoría","todos","ambiente integrado","parcial manual","WCAG 2.2 AA","foco/nombres/errores","N/A","N/A","desktop parcial","Chrome","BLOCKED","EP-QA-017","nombres ambiguos confirmados"
"UI-089","/","sitio público secundario","búsqueda/CTA/navbar/footer","controles","público","landing","recorrido secundario","navegar/buscar","algunos anchors/search sin destino","public GETs","N/A","1365x768","Chrome/CUA","FAIL","","fuera del foco corregido por usuario"
"UI-090","/ruta-inexistente","404","not found","navegación","público","servidor Next","build genera /_not-found; no browser formal","404 útil","página not-found","ninguno","N/A","N/A","N/A","BLOCKED","","sólo build"
